=== xsim kat_sim -R ===
BANKPOP t=47220000 word=c3a1e4802303d589 acclen=64 vb=0
BANKPOP t=47290000 word=5fecf49ba75f33d8 acclen=104 vb=1
BANKPOP t=47300000 word=54587c7bacf139ea acclen=92 vb=1
BANKPOP t=47310000 word=7f703df48519fbf0 acclen=80 vb=1
BANKPOP t=47320000 word=bd3ae42923e17c56 acclen=68 vb=1
BANKPOP t=47340000 word=20639bb3c4d49eaa acclen=108 vb=1
BANKPOP t=47350000 word=7197159aa0eb70ca acclen=96 vb=1
BANKPOP t=47360000 word=6bd4ef0a5bed727b acclen=84 vb=1
BANKPOP t=47370000 word=7a3a1cd856bd5c7c acclen=72 vb=1
BANKPOP t=47390000 word=a9875b4eef359d6a acclen=112 vb=1
BANKPOP t=47400000 word=437f6b4c389bfdfb acclen=100 vb=1
BANKPOP t=47410000 word=05979b37726329ec acclen=88 vb=1
BANKPOP t=47420000 word=96856836aac78b78 acclen=76 vb=1
BANKPOP t=47430000 word=9140b2fa24c056a8 acclen=64 vb=1
BANKPOP t=47450000 word=baba4ff68dadb2f1 acclen=104 vb=1
BANKPOP t=47460000 word=451ba96162ff8ec1 acclen=92 vb=1
BANKPOP t=47470000 word=22ef52eb3cd29648 acclen=80 vb=1
BANKPOP t=47480000 word=ce40ecd6f62b3fd9 acclen=68 vb=1
BANKPOP t=47500000 word=9dac87d71283fce7 acclen=108 vb=1
BANKPOP t=47510000 word=eadd2fc5c1b2c645 acclen=96 vb=1
BANKPOP t=47520000 word=2e7932f60adb409a acclen=84 vb=1
BANKPOP t=47530000 word=522344ec048ee919 acclen=72 vb=1
BANKPOP t=47550000 word=3f7dbbe186ac88c9 acclen=112 vb=1
BANKPOP t=47560000 word=74b1eac7f912a463 acclen=100 vb=1
BANKPOP t=47570000 word=4c07165d3116d163 acclen=88 vb=1
BANKPOP t=47580000 word=0a5b032013e06c8e acclen=76 vb=1
BANKPOP t=47590000 word=e0177e3c6f185163 acclen=64 vb=1
BANKPOP t=47610000 word=bec7d73a76ce3791 acclen=104 vb=1
BANKPOP t=47620000 word=c7b8bb05741b5449 acclen=92 vb=1
BANKPOP t=47630000 word=b6e1ba77a95f6a02 acclen=80 vb=1
BANKPOP t=47640000 word=771bf0fe9e86945b acclen=68 vb=1
BANKPOP t=47660000 word=18da309a463e17cf acclen=108 vb=1
BANKPOP t=47670000 word=bd1848f02a66d72b acclen=96 vb=1
BANKPOP t=47680000 word=fd230f60d5243562 acclen=84 vb=1
BANKPOP t=47690000 word=67395fa442fa6858 acclen=72 vb=1
BANKPOP t=47710000 word=13f436f32c1e402e acclen=112 vb=1
BANKPOP t=47720000 word=99876b4e6823f822 acclen=100 vb=1
BANKPOP t=47730000 word=0e412ff96eb95fb5 acclen=88 vb=1
BANKPOP t=47740000 word=9f65de4872a7dd23 acclen=76 vb=1
BANKPOP t=47750000 word=04df8a9cf9283270 acclen=64 vb=1
BANKPOP t=47770000 word=5449345710883c52 acclen=104 vb=1
BANKPOP t=47780000 word=48ae0f00aedb1fa8 acclen=92 vb=1
BANKPOP t=47790000 word=ae3c54e6c496d84c acclen=80 vb=1
BANKPOP t=47800000 word=c0371ef53d0e5a00 acclen=68 vb=1
BANKPOP t=47820000 word=41a1db506e101d40 acclen=108 vb=1
BANKPOP t=47830000 word=b2aa6d3d6a49b568 acclen=96 vb=1
BANKPOP t=47840000 word=3d5515e2dcc210e0 acclen=84 vb=1
BANKPOP t=47850000 word=9e8d9881957a3410 acclen=72 vb=1
BANKPOP t=47870000 word=c50e3510fc8325dc acclen=112 vb=1
BANKPOP t=47880000 word=70549bfab31805ef acclen=100 vb=1
BANKPOP t=47890000 word=e4970638a9f2932d acclen=88 vb=1
BANKPOP t=47900000 word=69eddbc117a0c226 acclen=76 vb=1
BANKPOP t=47910000 word=fe959950774ac425 acclen=64 vb=1
BANKPOP t=47930000 word=f213d013f2ab0c39 acclen=104 vb=1
BANKPOP t=47940000 word=94a0f9099ebd9ecb acclen=92 vb=1
BANKPOP t=47950000 word=6a2e9c5c28de0398 acclen=80 vb=1
BANKPOP t=47960000 word=ea13f0ea7afecf02 acclen=68 vb=1
BANKPOP t=47980000 word=bf5bd7e5824e9bab acclen=108 vb=1
BANKPOP t=47990000 word=e7b263ff74840b8e acclen=96 vb=1
BANKPOP t=48000000 word=c1a0ef54aaf1c2be acclen=84 vb=1
BANKPOP t=48010000 word=d0364692d48fb694 acclen=72 vb=1
BANKPOP t=48030000 word=5b26a4321ea388e1 acclen=112 vb=1
BANKPOP t=48040000 word=2f46d95e52c98f24 acclen=100 vb=1
BANKPOP t=48050000 word=5fbf43b4864bf09b acclen=88 vb=1
BANKPOP t=48060000 word=4636467e6466ae86 acclen=76 vb=1
BANKPOP t=48070000 word=c2e001e28c0d2dd0 acclen=64 vb=1
BANKPOP t=48090000 word=a693d1d023364ace acclen=104 vb=1
BANKPOP t=48100000 word=55a847bafe344664 acclen=92 vb=1
BANKPOP t=48110000 word=c581cb3d8fcc9f98 acclen=80 vb=1
BANKPOP t=48120000 word=dce4e0e20f9a5df0 acclen=68 vb=1
BANKPOP t=48140000 word=1f3ff49f1f624a09 acclen=108 vb=1
BANKPOP t=48150000 word=c2e3d4cf988f9a3e acclen=96 vb=1
BANKPOP t=48160000 word=138a78dca0d75f2f acclen=84 vb=1
BANKPOP t=48170000 word=f91e297d42036f2e acclen=72 vb=1
BANKPOP t=48190000 word=65a769b6f3f38ad6 acclen=112 vb=1
BANKPOP t=48200000 word=35578da35aac2d63 acclen=100 vb=1
BANKPOP t=48210000 word=6ff0a8bc4e0d37ca acclen=88 vb=1
BANKPOP t=48220000 word=957d49d7c0d6590f acclen=76 vb=1
BANKPOP t=48230000 word=027b0334b568961f acclen=64 vb=1
BANKPOP t=48250000 word=f27adf46fca2a57f acclen=104 vb=1
BANKPOP t=48260000 word=ceba0ab26d61e53b acclen=92 vb=1
BANKPOP t=48270000 word=4ee65d4bbe19ea02 acclen=80 vb=1
BANKPOP t=48280000 word=386e72907f1aa709 acclen=68 vb=1
BANKPOP t=48300000 word=46151fe5d768a9b5 acclen=108 vb=1
BANKPOP t=48310000 word=0cd54cb7c9aaa06d acclen=96 vb=1
BANKPOP t=48320000 word=9887beced0193854 acclen=84 vb=1
BANKPOP t=48330000 word=5f1408489e45d164 acclen=72 vb=1
BANKPOP t=48350000 word=b062bb161052295f acclen=112 vb=1
BANKPOP t=48360000 word=efcc50127b718f5d acclen=100 vb=1
BANKPOP t=48370000 word=62862a2996024c8a acclen=88 vb=1
BANKPOP t=48380000 word=d783ffc3f7949d49 acclen=76 vb=1
BANKPOP t=48390000 word=683fec18148d7de1 acclen=64 vb=1
BANKPOP t=48410000 word=f6f960b9ebcbeb43 acclen=104 vb=1
BANKPOP t=48420000 word=724348dcda56e461 acclen=92 vb=1
BANKPOP t=48430000 word=e14ee8d896b33f9d acclen=80 vb=1
BANKPOP t=48440000 word=594c4d1e32725624 acclen=68 vb=1
BANKPOP t=48460000 word=66d7394408534b45 acclen=108 vb=1
BANKPOP t=48470000 word=2e0593d21bec4220 acclen=96 vb=1
BANKPOP t=48480000 word=32cf53d31b46446a acclen=84 vb=1
BANKPOP t=48490000 word=544543954efdb9a4 acclen=72 vb=1
BANKPOP t=48510000 word=5f0bd5f02c92a0ce acclen=112 vb=1
BANKPOP t=48520000 word=89e11df0b2e78d71 acclen=100 vb=1
BANKPOP t=48530000 word=2bb69ab2f435b8ef acclen=88 vb=1
BANKPOP t=48540000 word=a402c2becc76dc99 acclen=76 vb=1
BANKPOP t=48550000 word=871303822af90d82 acclen=64 vb=1
BANKPOP t=48570000 word=57b4e5fe9bf18a9f acclen=104 vb=1
BANKPOP t=48580000 word=e8f36c48be8729bf acclen=92 vb=1
BANKPOP t=48590000 word=abc6647ee6fca419 acclen=80 vb=1
BANKPOP t=48600000 word=be82bda51198ddb4 acclen=68 vb=1
BANKPOP t=48620000 word=af841f2bc5432773 acclen=108 vb=1
BANKPOP t=48630000 word=066aa9685c14441b acclen=96 vb=1
BANKPOP t=48640000 word=c5bec5adb7cff5ed acclen=84 vb=1
BANKPOP t=48650000 word=ff0dd10b87f6605e acclen=72 vb=1
BANKPOP t=48670000 word=c9c054f4e3103b60 acclen=112 vb=1
BANKPOP t=48680000 word=69e05d2cb137b37f acclen=100 vb=1
BANKPOP t=48690000 word=edd1f753465df638 acclen=88 vb=1
BANKPOP t=48700000 word=5e7a1bdb4d1e28dd acclen=76 vb=1
BANKPOP t=48710000 word=1572ee8569775347 acclen=64 vb=1
BANKPOP t=48730000 word=38011d1cb5086217 acclen=104 vb=1
BANKPOP t=48740000 word=29311f54536a1daf acclen=92 vb=1
BANKPOP t=48750000 word=9fc06f2d68af2151 acclen=80 vb=1
BANKPOP t=48760000 word=78ad078410885b33 acclen=68 vb=1
BANKPOP t=48780000 word=1cae64c6aba79420 acclen=108 vb=1
BANKPOP t=48790000 word=cba046d6f51b986b acclen=96 vb=1
BANKPOP t=48800000 word=f3ca53237ba1aaee acclen=84 vb=1
BANKPOP t=48810000 word=f40f346e721c4e1e acclen=72 vb=1
BANKPOP t=48830000 word=b70a77bc049efc1c acclen=112 vb=1
BANKPOP t=48840000 word=98420b017fb02ecc acclen=100 vb=1
